objectid,filename,title,creator,date,description,subject,location,latitude,longitude,map_export,dimensions,material,type,format
amorsolo_001,amorsolo_001.jpg,Mother and Child (“Ina at Anak”),Fernando Amorsolo,1943,"This painting beautifully depicts the deep love and bond between a mother and her child. It shows the mother carefully holding her child to protect him, representing how a mother will sacrifice everything for her child. Amorsolo skillfully captured the strong relationship between a mother and her offspring in this work of art.",Filipino; Mother; Child; Maternal Love; Nurturing,"National Museum of Fine Arts, Manila, Philippines",14.5869356,120.9812491,TRUE,8.5H x 12.0W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_002,amorsolo_002.jpg,Planting Rice,Fernando Amorsolo,1921,"The artwork depicts a group of Filipino farmers, mostly women, planting rice seedlings in a rice field. It showcases Amorsolo's mastery of light, color, and detail. The painting captures the labor-intensive process of rice planting and serves as a tribute to the hard work and resilience of Filipino farmers.",Filipino; Farmers; Rice,"The Galeria De las Islas in Intramuros, Manila, Philippines",14.5896,120.9749,TRUE,34H x 48W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_003,amorsolo_003.jpg,Returning Fisherman,Fernando Amorsolo,1943,"The piece captures the tranquil essence of rural life in the Philippines, influenced by the artist's childhood in the coastal town of Daet. Unlike his usual sunlit depictions of farmers, this work portrays fishermen returning at dusk, with their boat gently moored as the sky is ablaze with orange and red hues. The serene atmosphere reflects the end of the day, where labor gives way to rest, all while being surrounded by the beauty of nature.",Filipino; Fishermen; Shore; Dusk; Sailboats ,Private Collection,,,FALSE,15H x 20W in,Oil on Board,Image;StillImage,image/jpeg
amorsolo_004,amorsolo_004.jpg,Seascape,Fernando Amorsolo,1938,"""Seascape"" by Fernando Amorsolo is a painting that beautifully captures the essence of Filipino life and culture by depicting a fisher family at the end of a day's work. This artwork showcases Amorsolo's mastery of light and his talent for evoking the pastoral beauty of rural Philippines.",Filipino; Fishermen; Family; Sailboats ,"National Museum of Fine Arts, Manila, Philippines",14.5869356,120.9812491,TRUE,17.3H x 24.0W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_005,amorsolo_005.jpg,Lavanderas,Fernando Amorsolo,1930,"The painting depicts a group of women engaged in the daily chore of doing laundry by a river, symbolizing the beauty and simplicity of rural life. It captures the essence of communal work and camaraderie, highlighting themes of renewal and community. Amorsolo's use of light and color enhances the scene, creating a harmonious landscape that reflects the tranquility of the Filipino countryside. ",Filipino; Woman; River; Washing clothes,Private Collection,,,FALSE, 23.5H x 33.5W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_006,amorsolo_006.jpg,Bombing of the Intendencia,Fernando Amorsolo,1942,"This painting shows the destruction of the Intendencia building in Intramuros during World War II. Fernando Amorsolo depicts the burning ruins of the historic structure, capturing the chaos of war and the loss of Manila’s cultural heritage. ",Destruction; Intendencia; Intramuros; World War II ,Private Collection,,,FALSE,18.3H x 28.1W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_007,amorsolo_007.jpg,Under the Mango Tree,Fernando Amorsolo,1935,"This painting depicts a serene rural scene in the Philippines, where figures rest or gather under a mango tree. Fernando Amorsolo highlights the warmth of natural sunlight and the simplicity of everyday countryside life. It reflects his signature style of idealized Filipino rural beauty and calmness.",Filipino; Rural Life; Nature; Traditional,Private Collection,,,FALSE,20.0H x 25.9W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_008,amorsolo_008.jpg,The Blind Man,Fernando Amorsolo,1929,"The painting portrays a blind man navigating daily life, emphasizing human vulnerability and resilience. Amorsolo presents the figure with sensitivity, focusing on dignity despite physical limitation. The work reflects compassion toward ordinary people in rural Filipino settings.",Filipino; Blind Individual; Rural Life; Nature,Private Collection,,,FALSE,28.9H x 23.0W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_009,amorsolo_009.jpg,Harvest,Fernando Amorsolo,1930,"This painting depicts Filipino farmers engaged in harvesting crops in a rural field. Fernando Amorsolo emphasizes light, movement, and the harmony of rural labor. It reflects a hopeful and idealized view of agricultural life in the Philippines. The scene also highlights the importance of farming as a source of livelihood and cultural identity.",Filipino; Farmers; Harvest,Private Collection,,,FALSE,14.9H x 21.6W in,Oil on Canvas,Image;StillImage,image/jpeg
amorsolo_010,amorsolo_010.jpg,Nude,Fernando Amorsolo,1937,"This painting presents a classical nude study of a female figure, rendered in Fernando Amorsolo’s soft, realistic style. It emphasizes natural light, form, and the gentle curves of the human body rather than dramatic expression. The work reflects Amorsolo’s academic training and interest in idealized human beauty.",Filipino; Nude; Woman,Private Collection,,,FALSE,18.1H x 13.9W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_001,luna_001.jpg,Spoliarium,Juan Luna,1884,"This painting depicts dying gladiators stripped of weapons and garments after a gladiatorial combat in the basement of a Roman area, being dragged on the ground.",Roman Gladiatorial Match; Roman,"National Museum of Fine Arts, Manila, Philippines",14.5869356,120.9812491,TRUE,166H x 302W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_002,luna_002.jpg,The Death of Cleopatra,Juan Luna,1881,"This artwork depicts Cleopatra’s moments after her death, lying on a bed adorned with a golden headboard and covered with rich bedsheets, with the sheets themselves decorated with hieroglyphs and the footboard similarly adorned in gold.",Cleopatra VII; Egypt,"Museo del Prado, Madrid, Spain",40.41378,-3.692127,TRUE,98.4H x 132W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_003,luna_003.jpg,The Battle of Lepanto,Juan Luna,1887,"The painting portrays the Battle of Lepanto of October 7, 1571, featuring Don Juan of Austria in battle while at the bow of a ship.",Holy League; Ottoman Empire,"Palacio del Senado, Madrid, Spain",40.421183,-3.711817,TRUE,19.9H x 26.8W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_004,luna_004.jpg,The Parisian Life,Juan Luna,1892,"This piece portrays a woman either a courtesan that represents “fallen womanhood”, who was about to rise from a couch overshadowing three men placed at the far left corner inside a café in Paris.",Courtesan Woman,"National Museum of Fine Arts, Manila, Philippines",14.5869356,120.9812491,TRUE,22H x 31W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_005,luna_005.jpg,El Pacto de Sangre (The Blood Compact),Juan Luna,1884,"""El Pacto de Sangre"" or called the ""The Blood Compact""portrays the 1565 Sandugo (blood compact ritual) between Datu Sikatuna of Bohol and Miguel López de Legazpi, surrounded by other conquistadors. ",Datu Sikatuna; Miguel López de Legazpi,"Malacañan Palace, Manila, Philippines",14.5936,120.9945,TRUE,157.48H x 106.30W in ,Oil on Canvas,Image;StillImage,image/jpeg
luna_006,luna_006.jpg,España y Filipinas (Spain and the Philippines),Juan Luna,1884,"España y Filipinas portrays two women side by side embarking up a staircase. The left figure represents Spain, the right figure represents the Philippines. This artwork represents the ""benevolent image of colonialism” guiding the “humbly dressed Filipina” towards the “right way”.",Spaniard; Filipino; Woman; Motherland,National Gallery Singapore,1.290168,103.851452,TRUE,90.3H x 31.3W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_007,luna_007.jpg,Tampuhan (Sulking),Juan Luna,1895,"Tampuhan portrays a man looking out to the street beside a Capiz-shell window leaning on the ventanilla while a woman is seen sitting on a chair with a downturned gaze, they are engaged in a lover’s quarrel in the sala (living room) of a “Bahay na Bato”.",Emiliana Trinidad; Ariston Bautista Lin,Private Collection,,,FALSE,19.9H x 26.8W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_008,luna_008.jpg,Las Damas Romanas (The Roman Dames),Juan Luna,1882,"Las Damas Romanas depicted a domestic scene in ancient Roman life, portraying two women lying on the steps of a house. The hand of one woman was holding the reins of two dogs in order to prevent them from scaring away some doves. The background of the painting presented a shelf of artifacts. To the left of the shelf was a shrine with a pediment shaped like a triangle. In front of the pediment was a burner with a smoking incense.",Roman Maidens,Private Collection,,,FALSE,39H X 67 W in,Oil on Canvas,Image;StillImage,image/jpeg
luna_009,luna_009.jpg,"Hymen, oh Hyménée! (Boda Romana)",Juan Luna,1887,"This artwork portrays a scene from a Roman wedding ritual, specifically the moment when the bride is entering the groom's chamber. ",Unnamed Wedding Guests; Bride; Groom,Private Collection,,,FALSE,49.2H × 98.6W in,Oil on Canvas,Image;StillImage,image/jpeg
